[7l----system---- ----total-cpu-usage---- ------memory-usage-----
     time     |usr sys idl wai hiq siq| used  buff  cach  free
15-03 09:45:47|  9   2  89   0   0   0| 837M 7804k 68.5M 61.8G
15-03 09:45:49|  2   2  96   0   0   0|1181M 7820k  829M 60.7G
15-03 09:45:51|  4   1  94   1   0   0|1248M 8196k 1269M 60.2G
15-03 09:45:53|  6   1  93   0   0   0|1247M 8204k 1742M 59.7G
15-03 09:45:55|  6   1  92   0   0   0|1295M 8204k 2373M 59.1G
15-03 09:45:57|  5   1  94   0   0   0|1296M 8336k 2635M 58.8G
15-03 09:45:59|  6   1  93   0   0   0|1297M 8344k 3183M 58.3G
15-03 09:46:01|  6   1  93   0   0   0|1297M 8428k 3526M 57.9G
15-03 09:46:03|  6   1  92   0   0   0|1303M 9.92M 3672M 57.8G
15-03 09:46:05|  5   1  94   0   0   0|1303M 9.92M 3951M 57.5G
15-03 09:46:07|  8   1  91   0   0   0|1302M 9.92M 4577M 56.9G
15-03 09:46:09|  6   1  93   0   0   0|1308M 9.93M 4846M 56.6G
15-03 09:46:11|  5   1  94   0   0   0|1308M 9.93M 4857M 56.6G
15-03 09:46:13|  6   1  93   0   0   0|1309M 9.93M 5384M 56.1G
15-03 09:46:15|  7   1  92   0   0   0|1311M 9.94M 5557M 55.9G
15-03 09:46:17|  6   1  94   0   0   0|1312M 9.94M 5752M 55.8G
15-03 09:46:19|  5   1  94   0   0   0|1314M 9.94M 5918M 55.6G
15-03 09:46:21|  6   1  93   0   0   0|1315M 9.95M 6177M 55.3G
15-03 09:46:23|  7   1  92   0   0   0|1316M 10.1M 6641M 54.9G
15-03 09:46:25|  7   1  92   0   0   0|1317M 10.1M 6769M 54.8G
15-03 09:46:27|  6   1  94   0   0   0|1317M 10.1M 6948M 54.6G
15-03 09:46:29|  6   1  94   0   0   0|1316M 10.1M 7076M 54.5G
15-03 09:46:31|  6   1  93   0   0   0|1319M 10.1M 7303M 54.2G
15-03 09:46:33|  7   1  92   0   0   0|1321M 10.1M 7621M 53.9G
15-03 09:46:35|  6   1  93   0   0   0|1327M 10.3M 7769M 53.8G
15-03 09:46:37|  5   1  94   0   0   0|1328M 10.3M 7870M 53.7G
15-03 09:46:39|  6   1  93   0   0   0|1327M 10.3M 8069M 53.5G
15-03 09:46:41|  7   1  92   0   0   0|1328M 10.3M 8500M 53.1G
15-03 09:46:43|  7   1  93   0   0   0|1329M 10.3M 8546M 53.0G
15-03 09:46:45|  6   1  93   0   0   0|1328M 10.4M 8708M 52.8G
15-03 09:46:47|  6   1  93   0   0   0|1328M 10.4M 8806M 52.8G
15-03 09:46:49|  7   1  93   0   0   0|1332M 10.4M 8988M 52.6G
15-03 09:46:51|  7   1  92   0   0   0|1328M 10.4M 9267M 52.3G
15-03 09:46:53|  6   1  94   0   0   0|1333M 10.4M 9330M 52.2G
15-03 09:46:55|  6   1  93   0   0   0|1335M 10.4M 9532M 52.0G
15-03 09:46:57|  7   1  92   0   0   0|1331M 10.4M 9877M 51.7G
15-03 09:46:59|  6   0  94   0   0   0|1331M 10.4M 9894M 51.7G
15-03 09:47:01|  6   1  93   0   0   0|1333M 10.4M 9986M 51.6G
15-03 09:47:03|  8   1  91   0   0   0|1335M 10.4M 10.1G 51.2G
15-03 09:47:05|  5   1  94   0   0   0|1335M 10.4M 10.2G 51.1G
15-03 09:47:07|  7   1  92   0   0   0|1337M 10.4M 10.2G 51.1G
15-03 09:47:09|  7   1  92   0   0   0|1336M 10.4M 10.5G 50.8G
15-03 09:47:11|  5   1  94   0   0   0|1335M 10.4M 10.6G 50.7G
15-03 09:47:13|  7   1  92   0   0   0|1337M 10.4M 10.7G 50.6G
15-03 09:47:15|  7   1  92   0   0   0|1335M 10.4M 10.9G 50.4G
15-03 09:47:17|  5   1  94   0   0   0|1338M 10.4M 11.0G 50.4G
15-03 09:47:19|  7   1  92   0   0   0|1339M 10.4M 11.1G 50.2G
15-03 09:47:21|  7   1  92   0   0   0|1338M 10.4M 11.4G 50.0G
15-03 09:47:23|  6   1  94   0   0   0|1338M 10.4M 11.5G 49.8G
15-03 09:47:25|  7   1  92   0   0   0|1344M 10.4M 11.6G 49.7G
15-03 09:47:27|  7   1  92   0   0   0|1345M 10.4M 11.8G 49.6G
15-03 09:47:29|  6   0  94   0   0   0|1346M 10.4M 11.8G 49.5G
15-03 09:47:31|  7   1  92   0   0   0|1347M 10.4M 12.0G 49.3G
15-03 09:47:33|  7   1  93   0   0   0|1350M 10.4M 12.2G 49.1G
15-03 09:47:35|  6   1  94   0   0   0|1348M 10.4M 12.3G 49.0G
15-03 09:47:37|  7   1  92   0   0   0|1351M 10.4M 12.5G 48.8G
15-03 09:47:39|  7   1  93   0   0   0|1351M 10.4M 12.5G 48.8G
15-03 09:47:41|  6   1  93   0   0   0|1350M 10.4M 12.7G 48.7G
15-03 09:47:43|  7   1  92   0   0   0|1350M 10.4M 12.9G 48.4G
15-03 09:47:45|  5   0  94   0   0   0|1351M 10.4M 13.1G 48.3G
15-03 09:47:47|  7   1  92   0   0   0|1353M 10.4M 13.1G 48.3G
15-03 09:47:49|  7   1  93   0   0   0|1351M 10.4M 13.2G 48.1G
15-03 09:47:51|  6   1  93   0   0   0|1351M 10.4M 13.4G 48.0G
15-03 09:47:53|  7   1  92   0   0   0|1354M 10.4M 13.5G 47.8G
15-03 09:47:55|  6   0  93   0   0   0|1354M 10.4M 13.6G 47.7G
15-03 09:47:57|  6   1  93   0   0   0|1356M 10.4M 13.7G 47.6G
15-03 09:47:59|  7   1  93   0   0   0|1355M 10.4M 13.9G 47.4G
15-03 09:48:01|  6   1  93   0   0   0|1357M 10.4M 14.0G 47.3G
15-03 09:48:03|  7   1  92   0   0   0|1356M 10.5M 14.2G 47.2G
15-03 09:48:05|  6   1  94   0   0   0|1356M 10.5M 14.2G 47.1G
15-03 09:48:07|  7   1  92   0   0   0|1355M 10.5M 14.5G 46.8G
15-03 09:48:09|  5   0  94   0   0   0|1358M 10.5M 14.4G 46.9G
15-03 09:48:11|  7   1  92   0   0   0|1359M 10.5M 14.7G 46.6G
15-03 09:48:13|  6   1  93   0   0   0|1359M 10.5M 14.8G 46.6G
15-03 09:48:15|  7   1  92   0   0   0|1363M 10.5M 14.8G 46.5G
15-03 09:48:17|  6   1  93   0   0   0|1362M 10.5M 15.0G 46.3G
15-03 09:48:19|  6   1  93   0   0   0|1365M 10.5M 15.0G 46.3G
15-03 09:48:21|  6   1  93   0   0   0|1363M 10.5M 15.2G 46.1G
15-03 09:48:23|  6   0  93   0   0   0|1364M 10.5M 15.3G 46.0G
15-03 09:48:25|  7   1  93   0   0   0|1363M 10.5M 15.4G 45.9G
15-03 09:48:27|  6   1  93   0   0   0|1364M 10.5M 15.5G 45.8G
15-03 09:48:29|  7   1  92   0   0   0|1364M 10.5M 15.7G 45.7G
15-03 09:48:31|  6   1  94   0   0   0|1366M 10.5M 15.7G 45.6G
15-03 09:48:33|  7   1  92   0   0   0|1365M 10.5M 15.9G 45.4G
15-03 09:48:35|  6   0  94   0   0   0|1366M 10.5M 15.9G 45.4G
15-03 09:48:37|  8   1  92   0   0   0|1365M 10.5M 16.2G 45.2G
15-03 09:48:39|  6   0  94   0   0   0|1366M 10.5M 16.1G 45.2G
15-03 09:48:41|  8   1  92   0   0   0|1365M 10.5M 16.4G 44.9G
15-03 09:48:43|  6   1  94   0   0   0|1366M 10.5M 16.4G 44.9G
15-03 09:48:45|  7   1  92   0   0   0|1367M 10.5M 16.6G 44.7G
15-03 09:48:47|  6   0  93   0   0   0|1368M 10.5M 16.6G 44.7G
15-03 09:48:49|  7   1  92   0   0   0|1369M 10.5M 16.7G 44.6G
15-03 09:48:51|  7   0  93   0   0   0|1369M 10.5M 16.8G 44.5G
15-03 09:48:53|  6   1  93   0   0   0|1369M 10.5M 16.9G 44.4G
15-03 09:48:55|  7   1  93   0   0   0|1369M 10.5M 17.1G 44.2G
15-03 09:48:57|  6   1  93   0   0   0|1370M 10.5M 17.1G 44.2G
15-03 09:48:59|  7   1  93   0   0   0|1370M 10.5M 17.3G 44.0G
15-03 09:49:01|  6   1  93   0   0   0|1371M 10.5M 17.4G 43.9G
15-03 09:49:03|  7   1  92   0   0   0|1370M 10.5M 17.5G 43.8G
15-03 09:49:05|  6   1  94   0   0   0|1373M 10.5M 17.6G 43.7G
15-03 09:49:07|  8   1  92   0   0   0|1371M 10.5M 17.9G 43.5G
15-03 09:49:09|  6   0  94   0   0   0|1374M 10.5M 17.7G 43.6G
15-03 09:49:11|  7   1  92   0   0   0|1372M 10.5M 18.0G 43.3G
15-03 09:49:13|  6   0  94   0   0   0|1374M 10.5M 17.9G 43.4G
15-03 09:49:15|  7   1  92   0   0   0|1376M 10.6M 18.1G 43.2G
15-03 09:49:17|  6   1  94   0   0   0|1378M 10.6M 18.2G 43.1G
15-03 09:49:19|  7   1  92   0   0   0|1375M 10.6M 18.3G 43.0G
15-03 09:49:21|  6   1  93   0   0   0|1375M 10.6M 18.4G 42.9G
15-03 09:49:23|  7   1  93   0   0   0|1376M 10.6M 18.5G 42.8G
15-03 09:49:25|  6   1  93   0   0   0|1375M 10.6M 18.6G 42.7G
15-03 09:49:27|  7   1  93   0   0   0|1379M 10.6M 18.8G 42.5G
15-03 09:49:29|  7   1  93   0   0   0|1379M 10.6M 18.8G 42.5G
15-03 09:49:31|  6   1  93   0   0   0|1380M 10.6M 18.9G 42.4G
15-03 09:49:33|  7   0  93   0   0   0|1382M 10.6M 19.0G 42.3G
15-03 09:49:35|  6   1  93   0   0   0|1385M 10.6M 19.1G 42.2G
15-03 09:49:37|  7   1  92   0   0   0|1386M 10.6M 19.3G 42.0G
15-03 09:49:39|  6   0  94   0   0   0|1388M 10.6M 19.2G 42.0G
15-03 09:49:41|  7   1  92   0   0   0|1389M 10.6M 19.5G 41.8G
15-03 09:49:43|  6   0  94   0   0   0|1390M 10.6M 19.4G 41.9G
15-03 09:49:45|  7   1  92   0   0   0|1389M 10.6M 19.7G 41.6G
15-03 09:49:47|  6   0  94   0   0   0|1391M 10.6M 19.7G 41.6G
15-03 09:49:49|  7   1  92   0   0   0|1394M 10.6M 19.8G 41.5G
