[7l----system---- ----total-cpu-usage---- ------memory-usage-----
     time     |usr sys idl wai hiq siq| used  buff  cach  free
16-03 01:10:02| 10   3  87   0   0   0| 954M 28.7M 27.9G 33.8G
16-03 01:10:04|  0   3  97   0   0   0| 940M 4008k 8107M 53.8G
16-03 01:10:06|  2   1  97   0   0   0|1174M 6464k  180M 61.3G
16-03 01:10:08|  2   0  97   1   0   0|1177M 6472k  381M 61.1G
16-03 01:10:10|  3   0  97   0   0   0|1213M 6472k  489M 61.0G
16-03 01:10:12|  3   0  96   0   0   0|1242M 6472k  621M 60.8G
16-03 01:10:14|  3   0  96   0   0   0|1269M 6480k  731M 60.7G
16-03 01:10:16|  4   0  96   0   0   0|1304M 6604k  921M 60.5G
16-03 01:10:18|  4   0  96   0   0   0|1337M 6604k  903M 60.5G
16-03 01:10:20|  4   0  96   0   0   0|1366M 6612k 1051M 60.3G
16-03 01:10:22|  4   0  96   0   0   0|1390M 6616k 1060M 60.3G
16-03 01:10:24|  4   0  96   0   0   0|1409M 6616k 1224M 60.1G
16-03 01:10:26|  4   0  96   0   0   0|1466M 6624k 1273M 60.0G
16-03 01:10:28|  4   0  96   0   0   0|1468M 6624k 1342M 59.9G
16-03 01:10:30|  4   0  96   0   0   0|1508M 6624k 1373M 59.8G
16-03 01:10:32|  4   0  96   0   0   0|1510M 6632k 1451M 59.8G
16-03 01:10:34|  5   0  95   0   0   0|1523M 6636k 1414M 59.8G
16-03 01:10:36|  5   0  95   0   0   0|1533M 6636k 1464M 59.7G
16-03 01:10:38|  5   0  95   0   0   0|1536M 6644k 1600M 59.6G
16-03 01:10:40|  4   0  95   0   0   0|1544M 6644k 1551M 59.6G
16-03 01:10:42|  5   0  95   0   0   0|1553M 6644k 1603M 59.6G
16-03 01:10:44|  4   0  95   0   0   0|1559M 6652k 1633M 59.5G
16-03 01:10:46|  5   1  94   0   0   0|1565M 6652k 1785M 59.4G
16-03 01:10:48|  5   1  94   0   0   0|1573M 6660k 1731M 59.4G
16-03 01:10:50|  4   0  95   0   0   0|1570M 6668k 1863M 59.3G
16-03 01:10:52|  5   0  95   0   0   0|1570M 6668k 1913M 59.3G
16-03 01:10:54|  5   1  95   0   0   0|1570M 6668k 2065M 59.1G
16-03 01:10:56|  5   0  95   0   0   0|1569M 6676k 2107M 59.1G
16-03 01:10:58|  5   1  94   0   0   0|1568M 6676k 2249M 58.9G
16-03 01:11:00|  6   1  94   0   0   0|1567M 6676k 2399M 58.8G
16-03 01:11:02|  5   0  95   0   0   0|1566M 6684k 2431M 58.7G
16-03 01:11:04|  5   0  94   0   0   0|1567M 6684k 2464M 58.7G
16-03 01:11:06|  5   1  94   0   0   0|1568M 6684k 2592M 58.6G
16-03 01:11:08|  5   1  94   0   0   0|1568M 6692k 2623M 58.6G
16-03 01:11:10|  5   1  94   0   0   0|1568M 6692k 2752M 58.4G
16-03 01:11:12|  5   1  94   0   0   0|1567M 6692k 2792M 58.4G
16-03 01:11:14|  5   1  94   0   0   0|1566M 6700k 2929M 58.3G
16-03 01:11:16|  6   1  94   0   0   0|1567M 6700k 2969M 58.2G
16-03 01:11:18|  5   1  94   0   0   0|1567M 6700k 3011M 58.2G
16-03 01:11:20|  6   1  93   0   0   0|1567M 6708k 3151M 58.0G
16-03 01:11:22|  6   1  94   0   0   0|1567M 6708k 3190M 58.0G
16-03 01:11:24|  6   1  94   0   0   0|1566M 6708k 3325M 57.9G
16-03 01:11:26|  6   1  93   0   0   0|1566M 6716k 3359M 57.8G
16-03 01:11:28|  6   1  94   0   0   0|1566M 6716k 3395M 57.8G
16-03 01:11:30|  6   1  94   0   0   0|1566M 6716k 3541M 57.7G
16-03 01:11:32|  6   1  94   0   0   0|1568M 6724k 3583M 57.6G
16-03 01:11:34|  6   1  94   0   0   0|1569M 6724k 3713M 57.5G
16-03 01:11:36|  6   1  94   0   0   0|1569M 6724k 3757M 57.5G
16-03 01:11:38|  6   1  93   0   0   0|1568M 6732k 3798M 57.4G
16-03 01:11:40|  6   1  94   0   0   0|1569M 6732k 3934M 57.3G
16-03 01:11:42|  6   1  94   0   0   0|1569M 6732k 3973M 57.2G
16-03 01:11:44|  6   0  94   0   0   0|1568M 6740k 4007M 57.2G
16-03 01:11:46|  6   1  94   0   0   0|1568M 6740k 4144M 57.1G
16-03 01:11:48|  6   1  93   0   0   0|1569M 6740k 4181M 57.0G
16-03 01:11:50|  6   1  93   0   0   0|1556M 6748k 3001M 58.2G
16-03 01:11:52|  5   1  94   0   0   0|1556M 6748k 3158M 58.0G
16-03 01:11:54|  6   1  94   0   0   0|1556M 6748k 3090M 58.1G
16-03 01:11:56|  5   1  94   0   0   0|1556M 6756k 3132M 58.1G
16-03 01:11:58|  6   1  94   0   0   0|1556M 6756k 3168M 58.0G
16-03 01:12:00|  6   1  94   0   0   0|1556M 6756k 3210M 58.0G
16-03 01:12:02|  6   1  93   0   0   0|1556M 6764k 3237M 58.0G
16-03 01:12:04|  5   1  94   0   0   0|1554M 6764k 3365M 57.8G
16-03 01:12:06|  6   1  94   0   0   0|1555M 6764k 3393M 57.8G
16-03 01:12:08|  5   1  94   0   0   0|1556M 6772k 3323M 57.9G
16-03 01:12:10|  5   1  94   0   0   0|1555M 6772k 3470M 57.7G
16-03 01:12:12|  6   1  93   0   0   0|1555M 6772k 3398M 57.8G
16-03 01:12:14|  5   1  94   0   0   0|1555M 6780k 3446M 57.8G
16-03 01:12:16|  6   1  93   0   0   0|1555M 6780k 3478M 57.7G
16-03 01:12:18|  5   1  94   0   0   0|1555M 6780k 3508M 57.7G
16-03 01:12:20|  5   1  93   0   0   0|1555M 6788k 3526M 57.7G
16-03 01:12:22|  6   1  94   0   0   0|1554M 6788k 3540M 57.7G
16-03 01:12:24|  5   1  94   0   0   0|1553M 6788k 3668M 57.6G
16-03 01:12:26|  6   1  94   0   0   0|1555M 6796k 3597M 57.6G
16-03 01:12:28|  5   1  94   0   0   0|1554M 6796k 3635M 57.6G
16-03 01:12:30|  6   1  93   0   0   0|1553M 6796k 3778M 57.4G
16-03 01:12:32|  5   1  94   0   0   0|1554M 6804k 3708M 57.5G
16-03 01:12:34|  5   1  94   0   0   0|1554M 6804k 3753M 57.5G
16-03 01:12:36|  6   1  94   0   0   0|1553M 6804k 3883M 57.3G
16-03 01:12:38|  5   1  93   0   0   0|1554M 6812k 3928M 57.3G
16-03 01:12:40|  5   1  93   1   0   0|1556M 6940k 3847M 57.4G
16-03 01:12:42|  5   1  94   0   0   0|1557M 6948k 3883M 57.3G
16-03 01:12:44|  5   1  94   0   0   0|1555M 6948k 4005M 57.2G
16-03 01:12:46|  5   1  94   0   0   0|1558M 6948k 3927M 57.3G
16-03 01:12:48|  5   1  94   0   0   0|1557M 6956k 3969M 57.3G
16-03 01:12:50|  6   1  94   0   0   0|1557M 6956k 3996M 57.2G
16-03 01:12:52|  5   1  94   0   0   0|1558M 6956k 4136M 57.1G
16-03 01:12:54|  6   1  93   0   0   0|1558M 6964k 4173M 57.1G
16-03 01:12:56|  5   1  94   0   0   0|1558M 6964k 4104M 57.1G
16-03 01:12:58|  5   1  94   0   0   0|1557M 6964k 4244M 57.0G
16-03 01:13:00|  6   1  94   0   0   0|1558M 6972k 4173M 57.1G
16-03 01:13:02|  5   1  94   0   0   0|1557M 6972k 4215M 57.0G
16-03 01:13:04|  6   1  93   0   0   0|1557M 6972k 4341M 56.9G
16-03 01:13:06|  5   1  94   0   0   0|1557M 6980k 4274M 57.0G
16-03 01:13:08|  5   1  94   0   0   0|1557M 6980k 4309M 56.9G
16-03 01:13:10|  6   1  93   0   0   0|1558M 6988k 4324M 56.9G
16-03 01:13:12|  5   1  94   0   0   0|1556M 6996k 4463M 56.8G
16-03 01:13:14|  6   1  93   0   0   0|1556M 6996k 4498M 56.7G
16-03 01:13:16|  5   1  94   0   0   0|1558M 6996k 4431M 56.8G
16-03 01:13:18|  5   1  94   0   0   0|1558M 7004k 4466M 56.8G
16-03 01:13:20|  6   1  93   0   0   0|1557M 7004k 4494M 56.7G
16-03 01:13:22|  5   1  94   0   0   0|1557M 7004k 4514M 56.7G
16-03 01:13:24|  5   1  94   0   0   0|1557M 7012k 4543M 56.7G
16-03 01:13:26|  6   1  94   0   0   0|1556M 7012k 4638M 56.6G
16-03 01:13:28|  5   1  94   0   0   0|1556M 7012k 4691M 56.6G
16-03 01:13:30|  6   1  93   0   0   0|1557M 7020k 4716M 56.5G
16-03 01:13:32|  5   1  94   0   0   0|1559M 7020k 4639M 56.6G
16-03 01:13:34|  5   1  94   0   0   0|1558M 7020k 4761M 56.5G
16-03 01:13:36|  5   1  94   0   0   0|1558M 7028k 4775M 56.5G
16-03 01:13:38|  6   1  93   0   0   0|1559M 7028k 4687M 56.6G
16-03 01:13:40|  5   1  94   0   0   0|1558M 7028k 4712M 56.5G
16-03 01:13:42|  6   1  94   0   0   0|1558M 7036k 4727M 56.5G
16-03 01:13:44|  6   1  93   0   0   0|1559M 7036k 4738M 56.5G
16-03 01:13:46|  6   1  94   0   0   0|1558M 7036k 4752M 56.5G
16-03 01:13:48|  5   1  94   0   0   0|1558M 7044k 4777M 56.5G
16-03 01:13:50|  5   1  94   0   0   0|1558M 7044k 4791M 56.5G
16-03 01:13:52|  6   1  94   0   0   0|1558M 7044k 4803M 56.4G
16-03 01:13:54|  5   1  94   0   0   0|1558M 7052k 4924M 56.3G
16-03 01:13:56|  5   1  94   0   0   0|1558M 7052k 4938M 56.3G
16-03 01:13:58|  6   1  94   0   0   0|1559M 7052k 4918M 56.3G
16-03 01:14:00|  5   1  94   0   0   0|1560M 7060k 4874M 56.4G
16-03 01:14:02|  5   1  94   0   0   0|1560M 7060k 4914M 56.3G
