[7l----system---- ----total-cpu-usage---- ------memory-usage-----
     time     |usr sys idl wai hiq siq| used  buff  cach  free
27-03 21:02:02|  2   0  98   0   0   0|2670M 8184k 10.6G 49.5G
27-03 21:02:04|  1   2  97   0   0   0|2721M 4332k  558M 59.5G
27-03 21:02:06|  3   1  96   0   0   0|2724M 4332k 1382M 58.6G
27-03 21:02:08|  3   1  96   0   0   0|2727M 4344k 1985M 58.1G
27-03 21:02:10|  2   1  96   0   0   0|2729M 4344k 2796M 57.3G
27-03 21:02:12|  2   1  96   0   0   0|2730M 4344k 3633M 56.4G
27-03 21:02:14|  2   1  96   0   0   0|2734M 4352k 4438M 55.7G
27-03 21:02:16|  3   1  96   0   0   0|2738M 4352k 5314M 54.8G
27-03 21:02:18|  2   1  96   0   0   0|2738M 4352k 6151M 54.0G
27-03 21:02:20|  3   1  96   0   0   0|2742M 4360k 6969M 53.2G
27-03 21:02:22|  3   1  96   0   0   0|2747M 4360k 7519M 52.6G
27-03 21:02:24|  3   1  96   0   0   0|2749M 4368k 8221M 51.9G
27-03 21:02:26|  3   1  96   0   0   0|2752M 4368k 8905M 51.3G
27-03 21:02:28|  4   3  93   0   0   0|3616M 4368k 10.7G 48.5G
27-03 21:02:30|  5   2  93   0   0   0|3623M 4376k 12.7G 46.4G
27-03 21:02:32|  5   2  93   0   0   0|3631M 4376k 14.8G 44.3G
27-03 21:02:34|  5   1  93   0   0   0|3809M 4376k 15.9G 43.0G
27-03 21:02:36|  6   1  93   0   0   0|3751M 4384k 16.6G 42.3G
27-03 21:02:38|  5   2  93   0   0   0|4876M 4384k 17.3G 40.6G
27-03 21:02:40|  5   1  93   0   0   0|5950M 4384k 18.2G 38.7G
27-03 21:02:42|  6   1  93   0   0   0|6355M 4392k 18.9G 37.6G
27-03 21:02:44|  6   1  93   0   0   0|6357M 4392k 19.6G 36.9G
27-03 21:02:46|  6   1  93   0   0   0|6362M 4400k 20.3G 36.1G
27-03 21:02:48|  6   2  93   0   0   0|6441M 4400k 21.2G 35.1G
27-03 21:02:50|  5   2  93   0   0   0|7226M 4400k 22.5G 33.1G
27-03 21:02:52|  5   1  93   0   0   0|7229M 4408k 23.8G 31.8G
27-03 21:02:54|  5   2  93   0   0   0|7232M 4408k 24.9G 30.7G
27-03 21:02:56|  6   1  93   0   0   0|7380M 4412k 25.3G 30.2G
27-03 21:02:58|  6   0  94   0   0   0|7390M 4420k 25.3G 30.2G
27-03 21:03:00|  6   0  94   0   0   0|7308M 4420k 25.3G 30.2G
27-03 21:03:02|  5   1  94   0   0   0|9054M 4420k 25.2G 28.6G
27-03 21:03:04|  6   0  94   0   0   0|9940M 4428k 25.2G 27.8G
27-03 21:03:06|  6   0  94   0   0   0|9939M 4428k 25.2G 27.8G
27-03 21:03:08|  6   0  94   0   0   0|9939M 4428k 25.2G 27.8G
27-03 21:03:10|  5   1  94   0   0   0|9939M 4436k 25.2G 27.8G
27-03 21:03:12|  5   2  94   0   0   0|9939M 4436k 25.2G 27.8G
27-03 21:03:14|  6   1  94   0   0   0|9938M 4436k 25.2G 27.8G
27-03 21:03:16|  6   0  94   0   0   0|9938M 4444k 25.2G 27.8G
27-03 21:03:18|  6   0  94   0   0   0|9938M 4444k 25.2G 27.8G
27-03 21:03:20|  6   0  94   0   0   0|9937M 4444k 25.2G 27.8G
27-03 21:03:22|  6   0  94   0   0   0|9937M 4452k 25.2G 27.8G
27-03 21:03:24|  6   0  94   0   0   0|9937M 4452k 25.2G 27.8G
27-03 21:03:26|  6   0  94   0   0   0|9936M 4452k 25.2G 27.8G
27-03 21:03:28|  6   0  94   0   0   0|9936M 4460k 25.2G 27.8G
27-03 21:03:30|  6   0  94   0   0   0|9936M 4460k 25.2G 27.8G
27-03 21:03:32|  6   0  94   0   0   0|9937M 4460k 25.2G 27.8G
27-03 21:03:34|  6   0  94   0   0   0|9937M 4468k 25.2G 27.8G
27-03 21:03:36|  6   0  94   0   0   0|9937M 4468k 25.2G 27.8G
27-03 21:03:38|  6   0  94   0   0   0|9937M 4468k 25.2G 27.8G
27-03 21:03:40|  6   0  94   0   0   0|9937M 4476k 25.2G 27.8G
27-03 21:03:42|  6   0  94   0   0   0|9938M 4476k 25.2G 27.8G
27-03 21:03:44|  5   1  94   0   0   0|9939M 4476k 25.2G 27.8G
27-03 21:03:46|  6   0  94   0   0   0|9937M 4484k 25.2G 27.8G
27-03 21:03:48|  6   0  94   0   0   0|9939M 4484k 25.2G 27.8G
27-03 21:03:50|  6   0  94   0   0   0|9938M 4484k 25.2G 27.8G
27-03 21:03:52|  6   0  94   0   0   0|9938M 4492k 25.2G 27.8G
27-03 21:03:54|  6   0  94   0   0   0|9938M 4492k 25.2G 27.8G
27-03 21:03:56|  6   1  94   0   0   0|9939M 4492k 25.2G 27.8G
27-03 21:03:58|  6   0  94   0   0   0|9942M 4500k 25.2G 27.8G
27-03 21:04:00|  6   0  94   0   0   0|9942M 4500k 25.2G 27.8G
27-03 21:04:02|  6   0  94   0   0   0|9942M 4500k 25.2G 27.8G
27-03 21:04:04|  6   0  94   0   0   0|9942M 4508k 25.2G 27.8G
27-03 21:04:06|  6   0  94   0   0   0|9942M 4508k 25.2G 27.8G
27-03 21:04:08|  6   0  94   0   0   0|9941M 4508k 25.2G 27.8G
27-03 21:04:10|  6   0  94   0   0   0|9941M 4516k 25.2G 27.8G
27-03 21:04:12|  6   0  94   0   0   0|9941M 4516k 25.2G 27.8G
27-03 21:04:14|  6   0  94   0   0   0|9941M 4516k 25.2G 27.8G
27-03 21:04:16|  6   0  94   0   0   0|9941M 4524k 25.2G 27.8G
27-03 21:04:18|  6   0  94   0   0   0|9941M 4524k 25.2G 27.8G
27-03 21:04:20|  6   0  94   0   0   0|9941M 4524k 25.2G 27.8G
27-03 21:04:22|  6   0  94   0   0   0|9941M 4532k 25.2G 27.8G
27-03 21:04:24|  6   0  94   0   0   0|9941M 4532k 25.2G 27.8G
27-03 21:04:26|  6   0  94   0   0   0|9941M 4532k 25.2G 27.8G
27-03 21:04:28|  6   0  93   0   0   0|9941M 4540k 25.2G 27.8G
27-03 21:04:30|  6   0  94   0   0   0|9941M 4540k 25.2G 27.8G
27-03 21:04:32|  6   0  94   0   0   0|9941M 4540k 25.2G 27.8G
27-03 21:04:34|  6   0  94   0   0   0|9941M 4548k 25.2G 27.8G
27-03 21:04:36|  6   0  94   0   0   0|9941M 4548k 25.2G 27.8G
27-03 21:04:38|  6   0  94   0   0   0|9941M 4548k 25.2G 27.8G
27-03 21:04:40|  6   0  94   0   0   0|9941M 4556k 25.2G 27.8G
27-03 21:04:42|  6   0  94   0   0   0|9941M 4556k 25.2G 27.8G
27-03 21:04:44|  6   0  94   0   0   0|9.98G 4556k 25.2G 27.5G
27-03 21:04:46|  6   0  94   0   0   0|10.3G 4564k 25.2G 27.2G
27-03 21:04:48|  6   0  94   0   0   0|10.6G 4564k 25.2G 26.9G
27-03 21:04:50|  6   0  94   0   0   0|10.9G 4564k 25.2G 26.6G
27-03 21:04:52|  6   0  94   0   0   0|10.9G 4572k 25.2G 26.6G
27-03 21:04:54|  6   0  94   0   0   0|8847M 4572k 25.2G 28.8G
27-03 21:04:56|  6   0  94   0   0   0|8920M 4572k 25.2G 28.8G
27-03 21:04:58|  6   0  94   0   0   0|9238M 4580k 25.2G 28.5G
27-03 21:05:00|  6   0  94   0   0   0|9551M 4580k 25.2G 28.1G
27-03 21:05:02|  6   0  94   0   0   0|9868M 4580k 25.2G 27.8G
27-03 21:05:04|  6   0  93   0   0   0|9.83G 4588k 25.2G 27.6G
27-03 21:05:06|  6   0  94   0   0   0|8814M 4588k 25.2G 28.9G
27-03 21:05:08|  5   1  94   0   0   0|8451M 4588k 25.2G 29.2G
27-03 21:05:10|  6   0  93   0   0   0|9475M 4596k 25.2G 28.2G
27-03 21:05:12|  6   0  94   0   0   0|9475M 4596k 25.2G 28.2G
27-03 21:05:14|  6   0  94   0   0   0|9475M 4596k 25.2G 28.2G
27-03 21:05:16|  6   0  94   0   0   0|9475M 4604k 25.2G 28.2G
27-03 21:05:18|  6   0  94   0   0   0|9475M 4604k 25.2G 28.2G
27-03 21:05:20|  5   1  94   0   0   0|9497M 4604k 25.2G 28.2G
27-03 21:05:22|  6   1  93   0   0   0|10.6G 4612k 25.2G 26.9G
27-03 21:05:24|  6   0  94   0   0   0|10.9G 4612k 25.2G 26.6G
27-03 21:05:26|  6   0  94   0   0   0|10.9G 4612k 25.2G 26.6G
27-03 21:05:28|  6   0  94   0   0   0|10.9G 4620k 25.2G 26.6G
27-03 21:05:30|  6   0  94   0   0   0|10.9G 4620k 25.2G 26.6G
27-03 21:05:32|  6   0  94   0   0   0|10.9G 4620k 25.2G 26.6G
27-03 21:05:34|  6   0  94   0   0   0|10.9G 4628k 25.2G 26.6G
27-03 21:05:36|  6   0  94   0   0   0|10.9G 4628k 25.2G 26.6G
27-03 21:05:38|  6   0  94   0   0   0|10.9G 4628k 25.2G 26.6G
27-03 21:05:40|  6   0  94   0   0   0|10.9G 4636k 25.2G 26.6G
27-03 21:05:42|  6   0  94   0   0   0|10.9G 4636k 25.2G 26.6G
27-03 21:05:44|  6   0  94   0   0   0|10.9G 4636k 25.2G 26.6G
27-03 21:05:46|  6   0  94   0   0   0|10.9G 4644k 25.2G 26.6G
27-03 21:05:48|  6   0  94   0   0   0|10.9G 4644k 25.2G 26.6G
27-03 21:05:50|  6   0  94   0   0   0|10.9G 4644k 25.2G 26.6G
27-03 21:05:52|  6   0  94   0   0   0|10.9G 4652k 25.2G 26.6G
27-03 21:05:54|  6   0  94   0   0   0|10.9G 4652k 25.2G 26.6G
27-03 21:05:56|  6   0  94   0   0   0|10.9G 4652k 25.2G 26.6G
27-03 21:05:58|  6   0  93   0   0   0|10.9G 4660k 25.2G 26.6G
27-03 21:06:00|  6   0  94   0   0   0|10.9G 4660k 25.2G 26.6G
27-03 21:06:02|  6   0  94   0   0   0|10.9G 4660k 25.2G 26.6G
27-03 21:06:04|  6   0  93   0   0   0|10.9G 4668k 25.2G 26.6G
27-03 21:06:06|  6   0  94   0   0   0|10.9G 4668k 25.2G 26.6G
27-03 21:06:08|  6   0  94   0   0   0|10.9G 4668k 25.2G 26.6G
27-03 21:06:10|  6   0  93   0   0   0|10.9G 4676k 25.2G 26.6G
27-03 21:06:12|  6   0  94   0   0   0|10.9G 4676k 25.2G 26.6G
27-03 21:06:14|  6   0  94   0   0   0|10.9G 4684k 25.2G 26.6G
27-03 21:06:16|  6   0  94   0   0   0|10.9G 4692k 25.2G 26.6G
27-03 21:06:18|  6   0  94   0   0   0|10.9G 4692k 25.2G 26.6G
27-03 21:06:20|  6   0  94   0   0   0|10.9G 4700k 25.2G 26.6G
27-03 21:06:22|  6   0  94   0   0   0|10.9G 4700k 25.2G 26.6G
27-03 21:06:24|  6   0  94   0   0   0|10.9G 4700k 25.2G 26.6G
27-03 21:06:26|  6   0  94   0   0   0|10.9G 4708k 25.2G 26.6G
27-03 21:06:28|  6   0  94   0   0   0|10.9G 4708k 25.2G 26.6G
27-03 21:06:30|  6   0  94   0   0   0|10.9G 4708k 25.2G 26.6G
27-03 21:06:32|  6   0  94   0   0   0|10.9G 4716k 25.2G 26.6G
27-03 21:06:34|  6   0  94   0   0   0|10.9G 4716k 25.2G 26.6G
27-03 21:06:36|  6   0  94   0   0   0|10.9G 4716k 25.2G 26.6G
27-03 21:06:38|  6   0  94   0   0   0|10.9G 4724k 25.2G 26.6G
27-03 21:06:40|  6   0  94   0   0   0|10.9G 4724k 25.2G 26.6G
27-03 21:06:42|  6   0  94   0   0   0|10.9G 4724k 25.2G 26.6G
27-03 21:06:44|  6   0  94   0   0   0|10.9G 4732k 25.2G 26.6G
27-03 21:06:46|  6   0  94   0   0   0|10.9G 4732k 25.2G 26.6G
27-03 21:06:48|  6   0  94   0   0   0|10.9G 4732k 25.2G 26.6G
27-03 21:06:50|  6   0  94   0   0   0|10.9G 4740k 25.2G 26.6G
27-03 21:06:52|  6   0  94   0   0   0|10.9G 4740k 25.2G 26.6G
27-03 21:06:54|  6   0  94   0   0   0|10.9G 4740k 25.2G 26.6G
27-03 21:06:56|  6   0  94   0   0   0|10.9G 4748k 25.2G 26.6G
27-03 21:06:58|  6   0  94   0   0   0|10.9G 4748k 25.2G 26.6G
27-03 21:07:00|  6   0  94   0   0   0|10.9G 4748k 25.2G 26.6G
27-03 21:07:02|  6   0  94   0   0   0|11.3G 4756k 25.2G 26.2G
27-03 21:07:04|  6   0  94   0   0   0|11.9G 4756k 25.2G 25.6G
27-03 21:07:06|  6   0  94   0   0   0|12.5G 4756k 25.2G 24.9G
27-03 21:07:08|  6   0  94   0   0   0|13.1G 4764k 25.2G 24.4G
27-03 21:07:10|  6   0  94   0   0   0|11.0G 4764k 25.2G 26.5G
27-03 21:07:12|  6   0  94   0   0   0|8980M 4764k 25.2G 28.7G
27-03 21:07:14|  6   0  94   0   0   0|8980M 4772k 25.2G 28.7G
27-03 21:07:16|  6   0  94   0   0   0|8980M 4772k 25.2G 28.7G
27-03 21:07:18|  6   0  94   0   0   0|8980M 4772k 25.2G 28.7G
27-03 21:07:20|  6   0  93   0   0   0|8980M 4780k 25.2G 28.7G
27-03 21:07:22|  6   0  94   0   0   0|8980M 4780k 25.2G 28.7G
27-03 21:07:24|  6   1  94   0   0   0|8496M 4780k 25.2G 29.2G
27-03 21:07:26|  4   2  94   0   0   0|9.83G 4788k 25.2G 27.6G
27-03 21:07:28|  6   1  94   0   0   0|11.7G 4788k 25.2G 25.7G
27-03 21:07:30|  6   0  94   0   0   0|12.1G 4788k 25.2G 25.4G
27-03 21:07:32|  6   0  94   0   0   0|12.1G 4796k 25.2G 25.4G
27-03 21:07:34|  6   0  94   0   0   0|12.1G 4796k 25.2G 25.4G
27-03 21:07:36|  6   0  94   0   0   0|12.1G 4796k 25.2G 25.4G
27-03 21:07:38|  6   0  94   0   0   0|12.1G 4804k 25.2G 25.4G
27-03 21:07:40|  6   0  94   0   0   0|12.1G 4804k 25.2G 25.4G
27-03 21:07:42|  6   0  94   0   0   0|12.1G 4804k 25.2G 25.4G
27-03 21:07:44|  6   0  94   0   0   0|12.1G 4812k 25.2G 25.4G
27-03 21:07:46|  6   0  94   0   0   0|12.1G 4812k 25.2G 25.4G
27-03 21:07:48|  6   0  94   0   0   0|12.1G 4812k 25.2G 25.4G
27-03 21:07:50|  6   0  94   0   0   0|12.1G 4820k 25.2G 25.4G
27-03 21:07:52|  6   0  94   0   0   0|12.1G 4820k 25.2G 25.4G
27-03 21:07:54|  6   0  94   0   0   0|12.1G 4820k 25.2G 25.4G
27-03 21:07:56|  6   0  94   0   0   0|12.1G 4828k 25.2G 25.4G
27-03 21:07:58|  6   0  94   0   0   0|12.1G 4828k 25.2G 25.4G
27-03 21:08:00|  6   0  94   0   0   0|12.1G 4828k 25.2G 25.4G
27-03 21:08:02|  6   0  94   0   0   0|12.1G 4836k 25.2G 25.4G
27-03 21:08:04|  6   0  94   0   0   0|12.1G 4836k 25.2G 25.4G
27-03 21:08:06|  6   0  94   0   0   0|12.1G 4836k 25.2G 25.4G
27-03 21:08:08|  6   0  93   0   0   0|12.1G 4844k 25.2G 25.4G
27-03 21:08:10|  6   0  94   0   0   0|12.1G 4844k 25.2G 25.4G
27-03 21:08:12|  6   0  94   0   0   0|12.1G 4844k 25.2G 25.4G
27-03 21:08:14|  6   0  94   0   0   0|12.1G 4852k 25.2G 25.4G
27-03 21:08:16|  6   0  94   0   0   0|12.1G 4852k 25.2G 25.4G
27-03 21:08:18|  6   0  94   0   0   0|12.1G 4852k 25.2G 25.4G
27-03 21:08:20|  6   0  94   0   0   0|12.1G 4860k 25.2G 25.4G
27-03 21:08:22|  6   0  94   0   0   0|12.1G 4860k 25.2G 25.4G
27-03 21:08:24|  6   0  94   0   0   0|12.1G 4860k 25.2G 25.4G
27-03 21:08:26|  6   0  94   0   0   0|12.1G 4868k 25.2G 25.4G
27-03 21:08:28|  6   0  94   0   0   0|12.1G 4868k 25.2G 25.4G
27-03 21:08:30|  6   0  94   0   0   0|12.1G 4868k 25.2G 25.4G
27-03 21:08:32|  6   0  93   0   0   0|12.1G 4876k 25.2G 25.4G
27-03 21:08:34|  6   0  94   0   0   0|12.1G 4876k 25.2G 25.4G
27-03 21:08:36|  6   0  94   0   0   0|12.1G 4876k 25.2G 25.4G
27-03 21:08:38|  6   0  94   0   0   0|12.1G 4884k 25.2G 25.4G
27-03 21:08:40|  6   0  94   0   0   0|12.1G 4884k 25.2G 25.4G
27-03 21:08:42|  6   0  94   0   0   0|12.1G 4884k 25.2G 25.4G
27-03 21:08:44|  6   0  94   0   0   0|12.1G 4892k 25.2G 25.4G
27-03 21:08:46|  6   0  94   0   0   0|12.1G 4892k 25.2G 25.4G
27-03 21:08:48|  6   0  94   0   0   0|12.1G 4892k 25.2G 25.4G
27-03 21:08:50|  6   0  94   0   0   0|12.1G 4900k 25.2G 25.4G
27-03 21:08:52|  6   0  94   0   0   0|12.1G 4900k 25.2G 25.4G
27-03 21:08:54|  6   0  94   0   0   0|12.1G 4900k 25.2G 25.4G
27-03 21:08:56|  6   0  93   0   0   0|12.1G 4908k 25.2G 25.4G
27-03 21:08:58|  6   0  94   0   0   0|12.1G 4908k 25.2G 25.4G
27-03 21:09:00|  6   0  94   0   0   0|12.1G 4908k 25.2G 25.4G
27-03 21:09:02|  6   0  94   0   0   0|12.1G 4916k 25.2G 25.4G
27-03 21:09:04|  6   0  94   0   0   0|12.1G 4916k 25.2G 25.4G
27-03 21:09:06|  6   0  94   0   0   0|12.1G 4916k 25.2G 25.4G
27-03 21:09:08|  6   0  93   0   0   0|12.1G 4924k 25.2G 25.4G
27-03 21:09:10|  6   0  94   0   0   0|12.3G 4924k 25.2G 25.2G
27-03 21:09:12|  6   0  94   0   0   0|12.6G 4924k 25.2G 24.8G
27-03 21:09:14|  6   0  94   0   0   0|13.0G 4932k 25.2G 24.4G
27-03 21:09:16|  6   0  94   0   0   0|13.6G 4932k 25.2G 23.8G
27-03 21:09:18|  6   0  94   0   0   0|11.7G 4932k 25.2G 25.8G
27-03 21:09:20|  6   0  94   0   0   0|12.0G 4940k 25.2G 25.5G
27-03 21:09:22|  6   0  94   0   0   0|12.2G 4940k 25.2G 25.3G
27-03 21:09:24|  6   0  94   0   0   0|9.95G 4940k 25.2G 27.5G
27-03 21:09:26|  6   0  93   0   0   0|9.95G 4948k 25.2G 27.5G
27-03 21:09:28|  6   0  94   0   0   0|9.95G 4948k 25.2G 27.5G
27-03 21:09:30|  6   0  94   0   0   0|9.95G 4948k 25.2G 27.5G
27-03 21:09:32|  6   0  94   0   0   0|11.2G 4956k 25.2G 26.3G
27-03 21:09:34|  6   0  94   0   0   0|9702M 4956k 25.2G 28.0G
27-03 21:09:36|  6   0  94   0   0   0|9701M 4956k 25.2G 28.0G
27-03 21:09:38|  6   1  94   0   0   0|9034M 4964k 25.2G 28.7G
27-03 21:09:40|  6   0  94   0   0   0|9154M 4964k 25.2G 28.5G
27-03 21:09:42|  6   0  94   0   0   0|9154M 4964k 25.2G 28.5G
27-03 21:09:44|  6   0  93   0   0   0|9154M 4972k 25.2G 28.5G
27-03 21:09:46|  6   0  94   0   0   0|9323M 4972k 25.2G 28.4G
27-03 21:09:48|  6   0  94   0   0   0|9010M 4972k 25.2G 28.7G
27-03 21:09:50|  4   2  94   0   0   0|6778M 4980k 19.1G 37.0G
27-03 21:09:52|  3   0  97   0   0   0|6634M 4980k 19.1G 37.1G
27-03 21:09:54|  2   1  97   0   0   0|6501M 4980k 15.9G 40.4G
27-03 21:09:56|  2   2  97   0   0   0|4123M 4988k 13.0G 45.6G
27-03 21:09:58|  3   0  97   0   0   0|4094M 4988k 13.0G 45.7G
27-03 21:10:00|  1   2  97   0   0   0|2735M 4168k 4246M 55.8G
27-03 21:10:02|  3   1  95   0   0   0|2766M 5400k 4878M 55.2G
27-03 21:10:04|  2   0  97   1   0   0|2795M 5400k 5308M 54.7G
27-03 21:10:06|  2   0  97   1   0   0|2823M 5400k 5718M 54.3G
27-03 21:10:08|  2   0  97   1   0   0|2852M 5408k 6157M 53.9G
27-03 21:10:10|  2   0  97   1   0   0|2879M 5408k 6573M 53.4G
27-03 21:10:12|  2   0  97   1   0   0|2909M 5416k 7021M 53.0G
27-03 21:10:14|  2   0  97   1   0   0|2937M 5416k 7436M 52.5G
27-03 21:10:16|  2   0  97   1   0   0|2966M 5416k 7865M 52.1G
27-03 21:10:18|  2   0  97   1   0   0|2995M 5424k 8292M 51.6G
27-03 21:10:20|  2   0  97   1   0   0|3023M 5424k 8718M 51.2G
27-03 21:10:22|  2   0  97   1   0   0|3052M 5424k 9143M 50.7G
27-03 21:10:24|  2   0  97   1   0   0|3081M 5432k 9567M 50.3G
27-03 21:10:26|  2   0  97   1   0   0|3111M 5432k 9.77G 49.8G
27-03 21:10:28|  2   0  97   1   0   0|3141M 5432k 10.2G 49.4G
27-03 21:10:30|  2   0  97   1   0   0|3171M 5440k 10.6G 48.9G
27-03 21:10:32|  2   0  97   1   0   0|3200M 5440k 11.0G 48.5G
27-03 21:10:34|  2   0  97   1   0   0|3227M 5440k 11.4G 48.1G
27-03 21:10:36|  2   0  97   1   0   0|3258M 5464k 11.9G 47.6G
27-03 21:10:38|  2   0  97   1   0   0|3289M 5464k 12.3G 47.1G
27-03 21:10:40|  2   0  97   1   0   0|3319M 5464k 12.7G 46.7G
27-03 21:10:42|  2   1  97   1   0   0|3342M 5472k 13.0G 46.4G
27-03 21:10:44|  3   0  97   0   0   0|3342M 5472k 13.0G 46.4G
27-03 21:10:46|  3   0  97   0   0   0|3342M 5472k 13.0G 46.4G
27-03 21:10:48|  3   0  97   0   0   0|3342M 5480k 13.0G 46.4G
27-03 21:10:50|  3   0  97   0   0   0|3341M 5480k 13.0G 46.4G
27-03 21:10:52|  3   0  97   0   0   0|3341M 5480k 13.0G 46.4G
27-03 21:10:54|  3   0  97   0   0   0|3341M 5488k 13.0G 46.4G
27-03 21:10:56|  3   0  97   0   0   0|3341M 5488k 13.0G 46.4G
27-03 21:10:58|  3   0  97   0   0   0|3342M 5496k 13.0G 46.4G
27-03 21:11:00|  3   0  97   0   0   0|3342M 5500k 13.0G 46.4G
27-03 21:11:02|  3   0  97   0   0   0|3342M 5500k 13.0G 46.4G
